Interaction_ID,User_ID,User_Name,User_Age,User_Gender,User_Location,User_Membership_Level,Item_ID,Item_Name,Item_Category,Item_Subcategory,Item_Brand,Item_Price,Item_Rating,Interaction_Type,Timestamp,Rating,Discount_Applied,Payment_Method,Referral_Source
16,U016,Charlie Davis,55,Male,Los Angeles,Platinum,P0016,T-Shirt,Clothing,Kitchen Appliances,Brand B,484.26,4.6,review,2024-01-01 00:15:00,5,True,Bank Transfer,search engine
17,U017,Charlie Davis,22,Male,Phoenix,Platinum,P0017,Laptop,Electronics,Kitchen Appliances,Brand A,634.3,3.0,purchase,2024-01-01 00:16:00,4,True,Cash,social media
18,U018,Jane Smith,35,Non-Binary,Chicago,Gold,P0018,Novel,Clothing,Fiction,Brand D,156.97,4.0,click,2024-01-01 00:17:00,5,True,PayPal,email campaign
19,U019,Bob Brown,51,Non-Binary,Houston,Silver,P0019,Laptop,Books,Fiction,Brand D,815.47,3.0,click,2024-01-01 00:18:00,5,False,PayPal,social media
20,U020,Charlie Davis,19,Male,Los Angeles,Platinum,P0020,Novel,Books,Kitchen Appliances,Brand A,184.49,3.7,click,2024-01-01 00:19:00,4,False,PayPal,email campaign
21,U021,Alice Johnson,38,Non-Binary,Los Angeles,Platinum,P0021,Headphones,Clothing,Wearable Tech,Brand A,86.66,3.5,click,2024-01-01 00:20:00,3,True,Credit Card,social media
22,U022,Jane Smith,35,Female,Chicago,Gold,P0022,Headphones,Home Goods,Kitchen Appliances,Brand A,375.79,3.6,click,2024-01-01 00:21:00,5,False,Bank Transfer,social media
23,U023,John Doe,38,Non-Binary,Chicago,Silver,P0023,Smartwatch,Books,Apparel,Brand C,667.61,3.1,click,2024-01-01 00:22:00,,False,Credit Card,social media
24,U024,Bob Brown,57,Male,New York,Platinum,P0024,Novel,Home Goods,Kitchen Appliances,Brand A,442.3,4.8,purchase,2024-01-01 00:23:00,5,False,Credit Card,email campaign
25,U025,John Doe,51,Female,Los Angeles,Gold,P0025,Laptop,Electronics,Fiction,Brand A,175.8,4.8,review,2024-01-01 00:24:00,5,False,PayPal,social media
26,U026,Charlie Davis,51,Non-Binary,Chicago,Gold,P0026,Headphones,Home Goods,Wearable Tech,Brand C,802.99,3.1,click,2024-01-01 00:25:00,4,True,Credit Card,direct visit
27,U027,John Doe,27,Female,Phoenix,Gold,P0027,Laptop,Books,Fiction,Brand A,838.95,3.7,purchase,2024-01-01 00:26:00,3,False,Cash,search engine
28,U028,Alice Johnson,34,Non-Binary,New York,Platinum,P0028,Laptop,Home Goods,Kitchen Appliances,Brand A,30.92,3.1,click,2024-01-01 00:27:00,5,True,PayPal,email campaign
29,U029,John Doe,36,Female,Phoenix,Platinum,P0029,Novel,Books,Fiction,Brand C,492.08,3.6,click,2024-01-01 00:28:00,,False,PayPal,social media
30,U030,Alice Johnson,21,Non-Binary,Chicago,Gold,P0030,Headphones,Electronics,Kitchen Appliances,Brand B,453.98,3.2,click,2024-01-01 00:29:00,3,True,Credit Card,search engine
31,U031,Jane Smith,20,Male,New York,Silver,P0031,Headphones,Electronics,Wearable Tech,Brand B,281.96,3.4,click,2024-01-01 00:30:00,3,False,Credit Card,email campaign
32,U032,Bob Brown,18,Non-Binary,New York,Silver,P0032,Novel,Electronics,Fiction,Brand B,809.39,4.4,click,2024-01-01 00:31:00,3,True,PayPal,social media
33,U033,Charlie Davis,43,Non-Binary,Los Angeles,Platinum,P0033,Novel,Clothing,Fiction,Brand B,562.41,4.3,review,2024-01-01 00:32:00,5,True,Cash,search engine
34,U034,Alice Johnson,25,Male,New York,Platinum,P0034,T-Shirt,Books,Kitchen Appliances,Brand B,943.75,4.4,purchase,2024-01-01 00:33:00,5,False,Credit Card,search engine
35,U035,John Doe,56,Male,Chicago,Silver,P0035,Laptop,Clothing,Apparel,Brand D,558.44,4.0,click,2024-01-01 00:34:00,5,False,PayPal,direct visit
36,U036,Jane Smith,40,Non-Binary,Houston,Silver,P0036,Coffee Maker,Clothing,Apparel,Brand B,354.63,4.8,click,2024-01-01 00:35:00,,False,Bank Transfer,email campaign
37,U037,John Doe,44,Female,Chicago,Platinum,P0037,Laptop,Books,Wearable Tech,Brand C,830.61,3.9,click,2024-01-01 00:36:00,4,False,PayPal,email campaign
38,U038,Charlie Davis,41,Female,Los Angeles,Gold,P0038,Laptop,Electronics,Wearable Tech,Brand B,468.09,4.0,review,2024-01-01 00:37:00,,False,Bank Transfer,social media
39,U039,Alice Johnson,40,Non-Binary,Los Angeles,Gold,P0039,Novel,Clothing,Kitchen Appliances,Brand D,496.58,3.8,review,2024-01-01 00:38:00,4,True,Credit Card,email campaign
40,U040,John Doe,18,Male,Chicago,Gold,P0040,T-Shirt,Books,Wearable Tech,Brand A,608.02,4.6,click,2024-01-01 00:39:00,,False,Bank Transfer,search engine
41,U041,John Doe,18,Female,Los Angeles,Platinum,P0041,Laptop,Home Goods,Apparel,Brand C,729.55,4.2,review,2024-01-01 00:40:00,3,False,Bank Transfer,email campaign
42,U042,Jane Smith,48,Non-Binary,Chicago,Silver,P0042,Headphones,Books,Wearable Tech,Brand C,481.12,3.1,click,2024-01-01 00:41:00,5,False,Credit Card,email campaign
43,U043,Charlie Davis,20,Non-Binary,Los Angeles,Silver,P0043,Headphones,Clothing,Apparel,Brand D,306.55,4.9,purchase,2024-01-01 00:42:00,3,True,Credit Card,direct visit
44,U044,John Doe,32,Non-Binary,Houston,Silver,P0044,Smartwatch,Books,Kitchen Appliances,Brand B,601.68,4.3,click,2024-01-01 00:43:00,5,True,Credit Card,direct visit
45,U045,Jane Smith,47,Non-Binary,Houston,Silver,P0045,Coffee Maker,Books,Kitchen Appliances,Brand D,380.07,3.8,purchase,2024-01-01 00:44:00,3,False,PayPal,direct visit
46,U046,Bob Brown,29,Male,Los Angeles,Silver,P0046,Smartwatch,Electronics,Fiction,Brand B,362.57,4.7,click,2024-01-01 00:45:00,4,True,PayPal,search engine
47,U047,Charlie Davis,35,Male,Los Angeles,Gold,P0047,Smartwatch,Books,Fiction,Brand B,225.59,3.9,click,2024-01-01 00:46:00,3,True,Cash,email campaign
48,U048,Bob Brown,19,Female,New York,Platinum,P0048,Novel,Books,Apparel,Brand C,732.92,3.7,review,2024-01-01 00:47:00,3,True,PayPal,email campaign
49,U049,John Doe,22,Non-Binary,Phoenix,Silver,P0049,Headphones,Electronics,Apparel,Brand D,259.5,4.5,purchase,2024-01-01 00:48:00,4,False,Bank Transfer,direct visit
50,U050,Alice Johnson,53,Male,New York,Platinum,P0050,Smartwatch,Books,Kitchen Appliances,Brand B,214.21,4.5,review,2024-01-01 00:49:00,4,True,Bank Transfer,direct visit
51,U051,John Doe,54,Non-Binary,New York,Platinum,P0051,Novel,Electronics,Apparel,Brand B,109.1,4.3,review,2024-01-01 00:50:00,5,False,Bank Transfer,direct visit
52,U052,Jane Smith,22,Male,Houston,Silver,P0052,Coffee Maker,Books,Apparel,Brand C,940.59,4.3,review,2024-01-01 00:51:00,5,True,Credit Card,social media
53,U053,Bob Brown,22,Male,Houston,Platinum,P0053,Novel,Books,Fiction,Brand A,252.22,3.8,purchase,2024-01-01 00:52:00,,True,Credit Card,search engine
54,U054,Jane Smith,28,Non-Binary,New York,Platinum,P0054,Coffee Maker,Books,Kitchen Appliances,Brand D,97.41,3.8,click,2024-01-01 00:53:00,3,True,Bank Transfer,direct visit
55,U055,Jane Smith,18,Female,Houston,Gold,P0055,Novel,Books,Kitchen Appliances,Brand D,937.01,3.0,review,2024-01-01 00:54:00,5,False,PayPal,search engine
56,U056,Charlie Davis,26,Female,Phoenix,Silver,P0056,Smartwatch,Clothing,Apparel,Brand B,146.26,4.0,purchase,2024-01-01 00:55:00,4,False,Bank Transfer,social media
57,U057,Bob Brown,43,Non-Binary,New York,Platinum,P0057,Smartwatch,Home Goods,Kitchen Appliances,Brand B,96.39,4.0,purchase,2024-01-01 00:56:00,,True,Credit Card,search engine
58,U058,Alice Johnson,24,Female,New York,Silver,P0058,T-Shirt,Home Goods,Apparel,Brand B,142.05,3.5,purchase,2024-01-01 00:57:00,4,False,Bank Transfer,social media
59,U059,Jane Smith,33,Female,Chicago,Silver,P0059,Headphones,Electronics,Fiction,Brand C,402.83,4.8,review,2024-01-01 00:58:00,3,True,Credit Card,direct visit
60,U060,Alice Johnson,35,Female,New York,Gold,P0060,T-Shirt,Home Goods,Fiction,Brand D,408.1,3.7,click,2024-01-01 00:59:00,3,True,PayPal,social media
61,U061,Charlie Davis,36,Female,New York,Silver,P0061,Laptop,Home Goods,Wearable Tech,Brand B,404.62,3.3,review,2024-01-01 01:00:00,5,False,Cash,direct visit
62,U062,Alice Johnson,42,Female,Chicago,Platinum,P0062,Laptop,Home Goods,Kitchen Appliances,Brand D,55.83,3.7,review,2024-01-01 01:01:00,3,False,Credit Card,search engine
63,U063,Alice Johnson,56,Male,Los Angeles,Platinum,P0063,Headphones,Home Goods,Fiction,Brand C,402.76,4.5,review,2024-01-01 01:02:00,,True,Credit Card,direct visit
64,U064,Charlie Davis,18,Female,New York,Gold,P0064,Smartwatch,Home Goods,Wearable Tech,Brand C,620.13,4.6,click,2024-01-01 01:03:00,3,False,Credit Card,social media
65,U065,John Doe,55,Female,Chicago,Gold,P0065,T-Shirt,Home Goods,Apparel,Brand A,983.39,4.6,click,2024-01-01 01:04:00,3,True,PayPal,email campaign
66,U066,Charlie Davis,47,Non-Binary,Houston,Silver,P0066,T-Shirt,Home Goods,Fiction,Brand B,475.32,4.2,click,2024-01-01 01:05:00,,True,Credit Card,direct visit
67,U067,Jane Smith,49,Female,Chicago,Gold,P0067,Smartwatch,Home Goods,Fiction,Brand B,328.99,3.5,purchase,2024-01-01 01:06:00,5,False,Bank Transfer,direct visit
68,U068,John Doe,46,Female,Chicago,Silver,P0068,Headphones,Books,Wearable Tech,Brand A,413.59,3.7,purchase,2024-01-01 01:07:00,3,False,Credit Card,search engine
69,U069,John Doe,54,Non-Binary,New York,Silver,P0069,Laptop,Clothing,Wearable Tech,Brand C,699.4,3.4,purchase,2024-01-01 01:08:00,3,False,Bank Transfer,search engine
70,U070,Jane Smith,41,Non-Binary,Houston,Platinum,P0070,Novel,Electronics,Wearable Tech,Brand D,949.12,3.9,click,2024-01-01 01:09:00,5,True,Credit Card,direct visit
71,U071,Charlie Davis,25,Male,Los Angeles,Gold,P0071,T-Shirt,Clothing,Fiction,Brand D,770.83,3.1,purchase,2024-01-01 01:10:00,4,True,Bank Transfer,social media
72,U072,Jane Smith,35,Female,Los Angeles,Platinum,P0072,Coffee Maker,Electronics,Apparel,Brand C,665.95,4.7,review,2024-01-01 01:11:00,,False,Credit Card,email campaign
73,U073,Jane Smith,44,Female,Houston,Silver,P0073,Headphones,Electronics,Kitchen Appliances,Brand C,649.45,3.5,purchase,2024-01-01 01:12:00,5,True,Cash,email campaign
74,U074,John Doe,30,Female,Houston,Silver,P0074,T-Shirt,Electronics,Fiction,Brand C,843.35,4.8,purchase,2024-01-01 01:13:00,4,True,Credit Card,search engine
75,U075,Jane Smith,29,Male,Los Angeles,Silver,P0075,Coffee Maker,Home Goods,Wearable Tech,Brand D,505.28,4.4,purchase,2024-01-01 01:14:00,3,False,PayPal,email campaign
76,U076,John Doe,39,Male,Houston,Silver,P0076,Headphones,Books,Kitchen Appliances,Brand B,912.9,3.6,purchase,2024-01-01 01:15:00,5,False,Bank Transfer,direct visit
77,U077,Bob Brown,43,Female,Los Angeles,Silver,P0077,T-Shirt,Books,Apparel,Brand A,771.8,4.8,purchase,2024-01-01 01:16:00,3,True,Bank Transfer,direct visit
78,U078,Charlie Davis,35,Female,Houston,Gold,P0078,Laptop,Home Goods,Fiction,Brand D,398.63,4.5,review,2024-01-01 01:17:00,5,True,PayPal,social media
79,U079,Bob Brown,26,Non-Binary,Chicago,Platinum,P0079,Laptop,Electronics,Wearable Tech,Brand A,80.15,3.6,click,2024-01-01 01:18:00,,False,Bank Transfer,direct visit
80,U080,John Doe,49,Male,Chicago,Gold,P0080,Novel,Home Goods,Apparel,Brand C,505.96,3.2,click,2024-01-01 01:19:00,3,True,PayPal,direct visit
81,U081,Alice Johnson,41,Female,Houston,Platinum,P0081,T-Shirt,Clothing,Wearable Tech,Brand B,556.67,4.2,click,2024-01-01 01:20:00,,False,Cash,direct visit
82,U082,John Doe,20,Male,Houston,Gold,P0082,Coffee Maker,Clothing,Kitchen Appliances,Brand C,576.14,3.8,purchase,2024-01-01 01:21:00,4,False,Bank Transfer,search engine
83,U083,John Doe,22,Male,Phoenix,Platinum,P0083,T-Shirt,Clothing,Apparel,Brand B,698.14,3.1,purchase,2024-01-01 01:22:00,5,False,PayPal,direct visit
84,U084,Jane Smith,33,Male,Phoenix,Silver,P0084,Laptop,Clothing,Wearable Tech,Brand B,366.85,3.7,click,2024-01-01 01:23:00,,True,Credit Card,search engine
85,U085,John Doe,25,Female,Los Angeles,Silver,P0085,T-Shirt,Home Goods,Kitchen Appliances,Brand D,129.65,3.4,purchase,2024-01-01 01:24:00,,False,Credit Card,email campaign
86,U086,Charlie Davis,55,Non-Binary,New York,Gold,P0086,Headphones,Electronics,Fiction,Brand B,529.81,4.9,purchase,2024-01-01 01:25:00,5,False,Credit Card,social media
87,U087,Charlie Davis,24,Female,Los Angeles,Platinum,P0087,Smartwatch,Electronics,Fiction,Brand B,808.65,3.2,purchase,2024-01-01 01:26:00,4,True,Bank Transfer,direct visit
88,U088,Charlie Davis,19,Female,Houston,Silver,P0088,Laptop,Books,Kitchen Appliances,Brand D,264.12,4.6,review,2024-01-01 01:27:00,3,True,Cash,email campaign
89,U089,Alice Johnson,37,Female,Los Angeles,Platinum,P0089,Headphones,Electronics,Kitchen Appliances,Brand D,836.21,4.1,click,2024-01-01 01:28:00,3,True,PayPal,direct visit
90,U090,Bob Brown,49,Male,New York,Platinum,P0090,T-Shirt,Clothing,Fiction,Brand C,783.1,3.3,review,2024-01-01 01:29:00,,False,Bank Transfer,search engine
91,U091,John Doe,58,Non-Binary,Phoenix,Platinum,P0091,T-Shirt,Books,Apparel,Brand C,294.28,4.0,click,2024-01-01 01:30:00,,True,Bank Transfer,email campaign
92,U092,John Doe,51,Non-Binary,Chicago,Gold,P0092,Laptop,Clothing,Kitchen Appliances,Brand D,171.92,3.4,review,2024-01-01 01:31:00,3,False,Bank Transfer,direct visit
93,U093,Alice Johnson,24,Male,Phoenix,Platinum,P0093,Laptop,Clothing,Fiction,Brand A,896.39,4.7,click,2024-01-01 01:32:00,,True,Cash,email campaign
94,U094,Bob Brown,20,Female,Los Angeles,Platinum,P0094,T-Shirt,Electronics,Kitchen Appliances,Brand D,127.3,3.9,purchase,2024-01-01 01:33:00,5,True,Cash,social media
95,U095,Bob Brown,43,Non-Binary,New York,Platinum,P0095,Headphones,Books,Fiction,Brand C,357.63,4.4,purchase,2024-01-01 01:34:00,3,False,Credit Card,direct visit
96,U096,Bob Brown,42,Female,New York,Gold,P0096,Headphones,Books,Apparel,Brand B,191.73,3.6,review,2024-01-01 01:35:00,5,False,Bank Transfer,email campaign
97,U097,John Doe,35,Non-Binary,Phoenix,Gold,P0097,Headphones,Electronics,Kitchen Appliances,Brand B,412.34,3.1,click,2024-01-01 01:36:00,5,True,Bank Transfer,email campaign
98,U098,John Doe,51,Male,Phoenix,Silver,P0098,Coffee Maker,Clothing,Wearable Tech,Brand B,587.82,4.4,click,2024-01-01 01:37:00,,True,Cash,email campaign
99,U099,John Doe,56,Female,Los Angeles,Silver,P0099,T-Shirt,Electronics,Apparel,Brand A,84.12,3.3,review,2024-01-01 01:38:00,,True,PayPal,direct visit
100,U100,Alice Johnson,47,Female,Los Angeles,Gold,P0100,Smartwatch,Home Goods,Fiction,Brand D,686.91,5.0,review,2024-01-01 01:39:00,3,False,Cash,search engine
101,U101,Bob Brown,40,Male,Houston,Gold,P0101,T-Shirt,Clothing,Kitchen Appliances,Brand C,163.83,4.9,purchase,2024-01-01 01:40:00,3,False,Credit Card,email campaign
102,U102,Charlie Davis,48,Female,Phoenix,Silver,P0102,Novel,Home Goods,Fiction,Brand D,615.66,3.4,review,2024-01-01 01:41:00,3,True,Cash,direct visit
103,U103,Jane Smith,29,Female,Houston,Gold,P0103,Laptop,Electronics,Fiction,Brand A,891.12,4.3,review,2024-01-01 01:42:00,,True,PayPal,social media
104,U104,Bob Brown,30,Non-Binary,Los Angeles,Gold,P0104,Novel,Clothing,Wearable Tech,Brand B,618.18,3.4,click,2024-01-01 01:43:00,,False,PayPal,direct visit
105,U105,Charlie Davis,34,Male,New York,Gold,P0105,Novel,Clothing,Fiction,Brand A,828.54,4.1,click,2024-01-01 01:44:00,4,False,Bank Transfer,social media
106,U106,Alice Johnson,43,Female,Houston,Silver,P0106,Novel,Clothing,Kitchen Appliances,Brand D,499.23,4.2,click,2024-01-01 01:45:00,3,True,Credit Card,direct visit
107,U107,Bob Brown,36,Female,Chicago,Platinum,P0107,Smartwatch,Home Goods,Apparel,Brand A,108.49,4.2,click,2024-01-01 01:46:00,3,True,PayPal,social media
108,U108,Charlie Davis,45,Male,Houston,Gold,P0108,Coffee Maker,Books,Fiction,Brand A,632.47,4.0,click,2024-01-01 01:47:00,4,True,PayPal,social media
109,U109,Jane Smith,23,Non-Binary,Phoenix,Platinum,P0109,T-Shirt,Clothing,Apparel,Brand A,826.03,3.5,purchase,2024-01-01 01:48:00,,False,Credit Card,social media
110,U110,Bob Brown,45,Non-Binary,Chicago,Silver,P0110,T-Shirt,Home Goods,Apparel,Brand B,958.68,4.9,purchase,2024-01-01 01:49:00,3,True,Cash,email campaign
111,U111,Bob Brown,27,Male,New York,Platinum,P0111,Novel,Books,Fiction,Brand D,205.66,4.2,purchase,2024-01-01 01:50:00,,False,PayPal,email campaign
112,U112,John Doe,48,Non-Binary,New York,Silver,P0112,Novel,Electronics,Kitchen Appliances,Brand D,160.54,4.9,review,2024-01-01 01:51:00,,False,Bank Transfer,direct visit
113,U113,John Doe,39,Female,New York,Silver,P0113,Smartwatch,Home Goods,Kitchen Appliances,Brand D,43.11,3.8,click,2024-01-01 01:52:00,4,True,Bank Transfer,direct visit
114,U114,Alice Johnson,26,Male,Houston,Platinum,P0114,Smartwatch,Books,Fiction,Brand B,67.18,3.3,review,2024-01-01 01:53:00,5,False,Credit Card,email campaign
115,U115,Charlie Davis,43,Non-Binary,Chicago,Silver,P0115,Novel,Electronics,Kitchen Appliances,Brand B,60.41,4.0,click,2024-01-01 01:54:00,4,False,PayPal,direct visit
116,U116,John Doe,55,Female,Los Angeles,Platinum,P0116,Laptop,Books,Wearable Tech,Brand C,183.0,4.7,review,2024-01-01 01:55:00,,True,PayPal,search engine
117,U117,Alice Johnson,56,Female,Chicago,Silver,P0117,Smartwatch,Home Goods,Apparel,Brand C,162.84,4.9,purchase,2024-01-01 01:56:00,5,True,Bank Transfer,search engine
118,U118,Bob Brown,49,Non-Binary,Los Angeles,Gold,P0118,Novel,Home Goods,Apparel,Brand D,79.51,3.0,click,2024-01-01 01:57:00,,False,Bank Transfer,direct visit
119,U119,Charlie Davis,28,Non-Binary,Houston,Platinum,P0119,Smartwatch,Electronics,Wearable Tech,Brand D,999.1,4.0,purchase,2024-01-01 01:58:00,,True,PayPal,social media
120,U120,John Doe,46,Male,Chicago,Gold,P0120,Novel,Electronics,Wearable Tech,Brand C,756.63,4.4,click,2024-01-01 01:59:00,5,True,Cash,email campaign
121,U121,Bob Brown,38,Male,Houston,Silver,P0121,Novel,Electronics,Kitchen Appliances,Brand D,304.31,3.4,click,2024-01-01 02:00:00,,False,Cash,social media
122,U122,Jane Smith,21,Male,Chicago,Platinum,P0122,Novel,Electronics,Wearable Tech,Brand A,592.29,3.3,purchase,2024-01-01 02:01:00,3,True,Credit Card,social media
123,U123,John Doe,35,Male,Houston,Platinum,P0123,Coffee Maker,Home Goods,Wearable Tech,Brand D,954.75,4.7,click,2024-01-01 02:02:00,4,False,Credit Card,search engine
124,U124,Bob Brown,21,Female,Chicago,Silver,P0124,Novel,Books,Fiction,Brand D,471.59,3.6,review,2024-01-01 02:03:00,4,False,Bank Transfer,direct visit
125,U125,John Doe,45,Male,New York,Gold,P0125,Coffee Maker,Electronics,Fiction,Brand B,348.17,3.1,purchase,2024-01-01 02:04:00,3,True,Bank Transfer,direct visit
126,U126,Bob Brown,31,Female,Houston,Gold,P0126,Laptop,Clothing,Wearable Tech,Brand C,302.89,3.5,purchase,2024-01-01 02:05:00,4,False,Bank Transfer,direct visit
127,U127,Charlie Davis,34,Male,Chicago,Silver,P0127,Headphones,Home Goods,Wearable Tech,Brand A,836.76,3.7,click,2024-01-01 02:06:00,5,False,PayPal,search engine
128,U128,Jane Smith,26,Female,Phoenix,Silver,P0128,Coffee Maker,Electronics,Wearable Tech,Brand C,90.49,3.2,review,2024-01-01 02:07:00,4,False,Credit Card,direct visit
129,U129,Bob Brown,29,Male,Chicago,Platinum,P0129,T-Shirt,Electronics,Fiction,Brand C,973.56,4.8,review,2024-01-01 02:08:00,5,True,Cash,social media
130,U130,Bob Brown,45,Male,Chicago,Silver,P0130,Novel,Clothing,Wearable Tech,Brand C,884.09,4.9,purchase,2024-01-01 02:09:00,3,False,Cash,email campaign
131,U131,Bob Brown,56,Male,Chicago,Platinum,P0131,T-Shirt,Clothing,Wearable Tech,Brand C,182.37,3.5,click,2024-01-01 02:10:00,3,False,Cash,social media
132,U132,Bob Brown,18,Male,Chicago,Platinum,P0132,Headphones,Clothing,Wearable Tech,Brand B,82.43,4.4,click,2024-01-01 02:11:00,3,True,Bank Transfer,direct visit
133,U133,Alice Johnson,47,Non-Binary,New York,Platinum,P0133,Coffee Maker,Clothing,Wearable Tech,Brand A,81.84,4.9,review,2024-01-01 02:12:00,3,True,Cash,email campaign
134,U134,Bob Brown,28,Non-Binary,Los Angeles,Gold,P0134,Laptop,Books,Kitchen Appliances,Brand D,955.13,3.9,review,2024-01-01 02:13:00,3,True,Cash,direct visit
135,U135,John Doe,48,Non-Binary,Phoenix,Platinum,P0135,Laptop,Books,Fiction,Brand A,265.23,3.3,review,2024-01-01 02:14:00,4,False,Cash,search engine
136,U136,Charlie Davis,30,Female,Houston,Gold,P0136,Smartwatch,Electronics,Kitchen Appliances,Brand B,144.88,3.1,click,2024-01-01 02:15:00,,True,PayPal,search engine
137,U137,Jane Smith,56,Non-Binary,New York,Gold,P0137,Laptop,Home Goods,Apparel,Brand B,656.85,4.4,purchase,2024-01-01 02:16:00,5,True,Credit Card,email campaign
138,U138,Charlie Davis,39,Male,Chicago,Platinum,P0138,Smartwatch,Home Goods,Apparel,Brand B,873.12,4.2,purchase,2024-01-01 02:17:00,,True,PayPal,search engine
139,U139,John Doe,26,Male,Phoenix,Gold,P0139,Smartwatch,Electronics,Apparel,Brand A,481.19,4.5,purchase,2024-01-01 02:18:00,5,False,Cash,email campaign
140,U140,Jane Smith,24,Non-Binary,Houston,Platinum,P0140,T-Shirt,Electronics,Apparel,Brand C,994.93,3.1,click,2024-01-01 02:19:00,5,False,Bank Transfer,social media
141,U141,Bob Brown,19,Female,Houston,Platinum,P0141,Novel,Home Goods,Fiction,Brand D,993.28,3.8,review,2024-01-01 02:20:00,3,False,Cash,search engine
142,U142,Charlie Davis,21,Female,Chicago,Silver,P0142,T-Shirt,Books,Wearable Tech,Brand D,774.73,4.4,click,2024-01-01 02:21:00,5,True,Bank Transfer,direct visit
143,U143,Charlie Davis,38,Female,Houston,Gold,P0143,Novel,Books,Kitchen Appliances,Brand A,82.64,3.3,purchase,2024-01-01 02:22:00,4,True,Bank Transfer,email campaign
144,U144,Alice Johnson,33,Female,Chicago,Silver,P0144,Novel,Electronics,Kitchen Appliances,Brand B,641.2,3.4,click,2024-01-01 02:23:00,,True,Cash,social media
145,U145,Alice Johnson,31,Non-Binary,Los Angeles,Silver,P0145,T-Shirt,Books,Wearable Tech,Brand A,284.42,3.7,purchase,2024-01-01 02:24:00,5,False,PayPal,search engine
146,U146,John Doe,54,Female,Los Angeles,Gold,P0146,Headphones,Books,Fiction,Brand A,755.78,3.6,click,2024-01-01 02:25:00,4,True,Credit Card,search engine
147,U147,Charlie Davis,50,Male,Phoenix,Silver,P0147,Headphones,Home Goods,Apparel,Brand D,58.39,3.3,click,2024-01-01 02:26:00,,False,Bank Transfer,search engine
148,U148,Alice Johnson,43,Female,Houston,Platinum,P0148,Coffee Maker,Books,Apparel,Brand C,410.23,4.4,click,2024-01-01 02:27:00,4,True,Credit Card,direct visit
149,U149,Alice Johnson,20,Male,Chicago,Platinum,P0149,Coffee Maker,Books,Kitchen Appliances,Brand D,767.48,3.4,purchase,2024-01-01 02:28:00,3,False,Cash,social media
